,runtime,log_budget,log_revenue,log_popularity,log_vote_count,num_genres,is_english,is_adult,is_summer,is_holiday,is_friday_release,has_budget,has_revenue,budget_tier,is_major_studio,dir_avg_rating,dir_movie_count,dir_max_rating,dir_experienced,dir_avg_votes,num_keywords,num_prod_companies,release_month,release_quarter,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,vote_average
844,134.0,0.0,16.02378508137718,3.595172987673628,5.645446897643238,4,1,0,0,0,1,0,1,0.0,1,7.906,1,7.906,0,282.0,20,5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,7.906
845,139.0,15.605487439326224,0.0,2.716216763768603,5.641907070938114,2,0,0,1,0,1,1,0,2.0,0,6.505,1,6.505,0,281.0,0,8,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.505
846,123.0,0.0,15.086631132624456,2.9935799589858485,5.641907070938114,1,1,0,0,1,0,0,1,0.0,1,8.152,2,8.152,0,1531.0,8,8,11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.673
847,98.0,0.0,0.0,2.3205232381250585,5.638354669333745,3,1,0,0,1,1,0,0,0.0,0,6.195,2,6.195,0,169.5,3,2,11,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.004
848,135.0,16.020482932344898,0.0,2.751173545484297,5.638354669333745,3,0,0,0,0,0,1,0,2.0,0,7.221,1,7.221,0,280.0,8,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7.221
849,94.0,0.0,14.734415070934514,2.6366974043236344,5.634789603169249,2,1,0,0,1,1,0,1,0.0,0,6.957,1,6.957,0,279.0,4,3,11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.957
850,115.0,0.0,0.0,2.9048223981941486,5.634789603169249,4,1,0,1,0,1,0,0,0.0,0,6.079,1,6.079,0,279.0,11,3,8,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.079
851,74.0,15.283385136491308,14.661298994029252,2.564641617806854,5.634789603169249,2,0,0,1,0,0,1,1,2.0,0,6.7299999999999995,4,7.661,1,270.25,1,4,6,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.991
852,91.0,0.0,15.226497775576945,3.1852776754372654,5.631211781821365,5,1,0,0,0,0,0,1,0.0,0,7.8,1,7.8,0,278.0,3,2,9,3,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.8
853,107.0,0.0,13.997832948091215,2.3538483869315874,5.631211781821365,1,1,0,1,0,1,0,1,0.0,0,6.1,1,6.1,0,278.0,0,4,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1
